,0
2017-07-14,103425.6572984769
2017-07-17,103425.6572984769
2017-07-18,103425.6572984769
2017-07-19,103425.6572984769
2017-07-20,103425.6572984769
2017-07-21,103425.6572984769
2017-07-24,103425.6572984769
2017-07-25,103425.6572984769
2017-07-26,103425.6572984769
2017-07-27,103425.6572984769
2017-07-28,103425.6572984769
2017-07-31,103425.6572984769
2017-08-01,103425.6572984769
2017-08-02,103425.6572984769
2017-08-03,103425.6572984769
2017-08-04,103425.6572984769
2017-08-07,103425.6572984769
2017-08-08,103425.6572984769
2017-08-09,103425.6572984769
2017-08-10,103425.6572984769
2017-08-11,103425.6572984769
2017-08-14,103425.6572984769
2017-08-15,103425.6572984769
2017-08-16,103425.6572984769
2017-08-17,103425.6572984769
2017-08-18,103425.6572984769
2017-08-21,103425.6572984769
2017-08-22,103425.6572984769
2017-08-23,103425.6572984769
2017-08-24,103425.6572984769
2017-08-25,103425.6572984769
2017-08-28,103425.6572984769
2017-08-29,103425.6572984769
2017-08-30,103425.6572984769
2017-08-31,103425.6572984769
2017-09-01,103425.6572984769
2017-09-05,103425.6572984769
2017-09-06,103425.6572984769
2017-09-07,103425.6572984769
2017-09-08,103425.6572984769
2017-09-11,103425.6572984769
2017-09-12,103425.6572984769
2017-09-13,103425.6572984769
2017-09-14,103425.6572984769
2017-09-15,103425.6572984769
2017-09-18,103425.6572984769
2017-09-19,103425.6572984769
2017-09-20,103425.6572984769
2017-09-21,103425.6572984769
2017-09-22,103425.6572984769
2017-09-25,103425.6572984769
2017-09-26,103425.6572984769
2017-09-27,103425.6572984769
2017-09-28,103425.6572984769
2017-09-29,103425.6572984769
2017-10-02,103425.6572984769
2017-10-03,103425.6572984769
2017-10-04,103425.6572984769
2017-10-05,103425.6572984769
2017-10-06,103425.6572984769
2017-10-09,103425.6572984769
2017-10-10,103425.6572984769
2017-10-11,103425.6572984769
2017-10-12,103425.6572984769
2017-10-13,103425.6572984769
2017-10-16,103425.6572984769
2017-10-17,103425.6572984769
2017-10-18,103425.6572984769
2017-10-19,103425.6572984769
2017-10-20,103425.6572984769
2017-10-23,103425.6572984769
2017-10-24,103425.6572984769
2017-10-25,103425.6572984769
2017-10-26,103425.6572984769
2017-10-27,103425.6572984769
2017-10-30,103425.6572984769
2017-10-31,103425.6572984769
2017-11-01,103425.6572984769
2017-11-02,103425.6572984769
2017-11-03,103425.6572984769
2017-11-06,103425.6572984769
2017-11-07,103425.6572984769
2017-11-08,103425.6572984769
2017-11-09,103425.6572984769
2017-11-10,103425.6572984769
2017-11-13,103425.6572984769
2017-11-14,103425.6572984769
2017-11-15,103425.6572984769
2017-11-16,103425.6572984769
2017-11-17,103425.6572984769
2017-11-20,103425.6572984769
2017-11-21,103425.6572984769
2017-11-22,103425.6572984769
2017-11-24,103425.6572984769
2017-11-27,103425.6572984769
2017-11-28,103425.6572984769
2017-11-29,103425.6572984769
2017-11-30,103425.6572984769
2017-12-01,103425.6572984769
2017-12-04,103425.6572984769
2017-12-05,103425.6572984769
2017-12-06,103425.6572984769
2017-12-07,103425.6572984769
2017-12-08,103425.6572984769
2017-12-11,103425.6572984769
2017-12-12,103425.6572984769
2017-12-13,103425.6572984769
2017-12-14,103425.6572984769
2017-12-15,103425.6572984769
2017-12-18,103425.6572984769
2017-12-19,103425.6572984769
2017-12-20,103425.6572984769
2017-12-21,103425.6572984769
2017-12-22,103425.6572984769
2017-12-26,103425.6572984769
2017-12-27,103425.6572984769
2017-12-28,103425.6572984769
2017-12-29,103425.6572984769
2018-01-02,103425.6572984769
2018-01-03,103425.6572984769
2018-01-04,103425.6572984769
2018-01-05,103425.6572984769
2018-01-08,103425.6572984769
2018-01-09,103425.6572984769
2018-01-10,103425.6572984769
2018-01-11,103425.6572984769
2018-01-12,103425.6572984769
2018-01-16,103425.6572984769
2018-01-17,103425.6572984769
2018-01-18,103425.6572984769
2018-01-19,103425.6572984769
2018-01-22,103425.6572984769
2018-01-23,103425.6572984769
2018-01-24,103425.6572984769
2018-01-25,103425.6572984769
2018-01-26,103425.6572984769
2018-01-29,103425.6572984769
2018-01-30,103425.6572984769
2018-01-31,103425.6572984769
2018-02-01,103425.6572984769
2018-02-02,103425.6572984769
2018-02-05,103425.6572984769
2018-02-06,103425.6572984769
2018-02-07,103425.6572984769
2018-02-08,103425.6572984769
2018-02-09,103425.6572984769
2018-02-12,103425.6572984769
2018-02-13,103425.6572984769
2018-02-14,103425.6572984769
2018-02-15,103425.6572984769
2018-02-16,103425.6572984769
2018-02-20,103425.6572984769
2018-02-21,103425.6572984769
2018-02-22,103425.6572984769
2018-02-23,103425.6572984769
2018-02-26,103425.6572984769
2018-02-27,103425.6572984769
2018-02-28,103072.41792068454
2018-03-01,102909.41792068454
2018-03-02,102909.41792068454
2018-03-05,103398.2015471494
2018-03-06,103230.92160940525
2018-03-07,103459.40216970799
2018-03-08,103771.52192068455
2018-03-09,103820.48226309178
2018-03-12,103960.5689506032
2018-03-13,103821.84927744647
2018-03-14,104105.40915293475
2018-03-15,104128.86910624286
2018-03-16,104133.96902842303
2018-03-19,104102.34927744647
2018-03-20,104419.5689506032
2018-03-21,104358.36910624286
2018-03-22,104161.50907511493
2018-03-23,103802.8937340047
2018-03-26,103802.8937340047
2018-03-27,103802.8937340047
2018-03-28,103802.8937340047
2018-03-29,103802.8937340047
2018-04-02,103802.8937340047
2018-04-03,103802.8937340047
2018-04-04,103802.8937340047
2018-04-05,103802.8937340047
2018-04-06,103802.8937340047
2018-04-09,103802.8937340047
2018-04-10,103802.8937340047
2018-04-11,103802.8937340047
2018-04-12,103802.8937340047
2018-04-13,103802.8937340047
2018-04-16,103802.8937340047
2018-04-17,103802.8937340047
2018-04-18,103802.8937340047
2018-04-19,103802.8937340047
2018-04-20,103802.8937340047
2018-04-23,103802.8937340047
2018-04-24,103802.8937340047
2018-04-25,103802.8937340047
2018-04-26,103802.8937340047
2018-04-27,103802.8937340047
2018-04-30,103802.8937340047
2018-05-01,103802.8937340047
2018-05-02,103802.8937340047
2018-05-03,103802.8937340047
2018-05-04,103802.8937340047
2018-05-07,103802.8937340047
2018-05-08,103802.8937340047
2018-05-09,103802.8937340047
2018-05-10,103802.8937340047
2018-05-11,103802.8937340047
2018-05-14,103802.8937340047
2018-05-15,103802.8937340047
2018-05-16,103802.8937340047
2018-05-17,103802.8937340047
2018-05-18,103802.8937340047
2018-05-21,103802.8937340047
2018-05-22,103802.8937340047
2018-05-23,103802.8937340047
2018-05-24,103802.8937340047
2018-05-25,103802.8937340047
2018-05-29,103802.8937340047
2018-05-30,103802.8937340047
2018-05-31,103802.8937340047
2018-06-01,103472.65165294525
2018-06-04,103956.56407894012
2018-06-05,104369.12975944397
2018-06-06,104942.9995819461
2018-06-07,105699.88819135544
2018-06-08,105911.13310903426
2018-06-11,106022.87715047713
2018-06-12,106359.66079229231
2018-06-13,106074.09313863631
2018-06-14,106586.2530202281
2018-06-15,106963.38906759139
2018-06-18,107020.8126057994
2018-06-19,107096.8610143077
2018-06-20,106324.06426239845
2018-06-21,106324.06426239845
2018-06-22,106324.06426239845
2018-06-25,106324.06426239845
2018-06-26,106324.06426239845
2018-06-27,106324.06426239845
2018-06-28,106324.06426239845
2018-06-29,106324.06426239845
2018-07-02,106324.06426239845
2018-07-03,106324.06426239845
2018-07-05,106324.06426239845
2018-07-06,106324.06426239845
2018-07-09,106324.06426239845
2018-07-10,106324.06426239845
2018-07-11,106324.06426239845
2018-07-12,106324.06426239845
2018-07-13,106324.06426239845
2018-07-16,106324.06426239845
2018-07-17,106324.06426239845
2018-07-18,106324.06426239845
2018-07-19,106324.06426239845
2018-07-20,106324.06426239845
2018-07-23,106324.06426239845
2018-07-24,106324.06426239845
2018-07-25,106324.06426239845
2018-07-26,106324.06426239845
2018-07-27,106324.06426239845
2018-07-30,106324.06426239845
2018-07-31,106324.06426239845
2018-08-01,106324.06426239845
2018-08-02,106324.06426239845
2018-08-03,106324.06426239845
2018-08-06,106324.06426239845
2018-08-07,106324.06426239845
2018-08-08,106324.06426239845
2018-08-09,106324.06426239845
2018-08-10,106324.06426239845
2018-08-13,106324.06426239845
2018-08-14,106324.06426239845
2018-08-15,106324.06426239845
2018-08-16,106324.06426239845
2018-08-17,106324.06426239845
2018-08-20,106324.06426239845
2018-08-21,106324.06426239845
2018-08-22,106812.64538628455
2018-08-23,108258.2467351615
2018-08-24,110015.84530693885
2018-08-27,111347.04602105018
2018-08-28,111128.64498955604
2018-08-29,111278.09457627173
2018-08-30,111116.8938621604
2018-08-31,111262.49421921607
2018-09-04,113501.00790151807
2018-09-05,112455.55008412221
2018-09-06,112107.15004444936
2018-09-07,111867.94952870229
2018-09-10,113173.14964772084
2018-09-11,113282.35016346791
2018-09-12,114379.54948902944
2018-09-13,113479.94972706655
2018-09-14,114644.75059986928
2018-09-17,114493.95012379506
2018-09-18,114233.95012379506
2018-09-19,113859.54948902944
2018-09-20,113843.95012379506
2018-09-21,113752.68500302175
2018-09-24,113752.68500302175
2018-09-25,113752.68500302175
2018-09-26,113752.68500302175
2018-09-27,113752.68500302175
2018-09-28,113752.68500302175
2018-10-01,113752.68500302175
2018-10-02,113752.68500302175
2018-10-03,113752.68500302175
2018-10-04,113752.68500302175
2018-10-05,113752.68500302175
2018-10-08,113752.68500302175
2018-10-09,113752.68500302175
2018-10-10,113752.68500302175
2018-10-11,113752.68500302175
2018-10-12,113752.68500302175
2018-10-15,113752.68500302175
2018-10-16,113752.68500302175
2018-10-17,113752.68500302175
2018-10-18,113752.68500302175
2018-10-19,113752.68500302175
2018-10-22,113752.68500302175
2018-10-23,113752.68500302175
2018-10-24,113752.68500302175
2018-10-25,113752.68500302175
2018-10-26,113752.68500302175
2018-10-29,113752.68500302175
2018-10-30,113752.68500302175
2018-10-31,113752.68500302175
2018-11-01,113752.68500302175
2018-11-02,113752.68500302175
2018-11-05,113752.68500302175
2018-11-06,113752.68500302175
2018-11-07,113682.23759649137
2018-11-08,113870.15725133756
2018-11-09,113818.53684423307
2018-11-12,113184.28922865464
2018-11-13,113184.28922865464
2018-11-14,113184.28922865464
2018-11-15,113184.28922865464
2018-11-16,113184.28922865464
2018-11-19,113184.28922865464
2018-11-20,113184.28922865464
2018-11-21,113184.28922865464
2018-11-23,113184.28922865464
2018-11-26,113184.28922865464
2018-11-27,113184.28922865464
2018-11-28,113184.28922865464
2018-11-29,113184.28922865464
2018-11-30,113184.28922865464
2018-12-03,113184.28922865464
2018-12-04,113184.28922865464
2018-12-06,113184.28922865464
2018-12-07,113184.28922865464
2018-12-10,113184.28922865464
2018-12-11,113184.28922865464
2018-12-12,113184.28922865464
2018-12-13,113184.28922865464
2018-12-14,113184.28922865464
2018-12-17,113184.28922865464
2018-12-18,113184.28922865464
2018-12-19,113184.28922865464
2018-12-20,113184.28922865464
2018-12-21,113184.28922865464
2018-12-24,113184.28922865464
2018-12-26,113184.28922865464
2018-12-27,113184.28922865464
2018-12-28,113184.28922865464
2018-12-31,113184.28922865464
2019-01-02,113184.28922865464
2019-01-03,113184.28922865464
2019-01-04,113184.28922865464
2019-01-07,113184.28922865464
2019-01-08,113184.28922865464
2019-01-09,113184.28922865464
2019-01-10,113184.28922865464
2019-01-11,113184.28922865464
2019-01-14,113184.28922865464
2019-01-15,113184.28922865464
2019-01-16,113184.28922865464
2019-01-17,113184.28922865464
2019-01-18,113184.28922865464
2019-01-22,113184.28922865464
2019-01-23,113184.28922865464
2019-01-24,113184.28922865464
2019-01-25,113184.28922865464
2019-01-28,113184.28922865464
2019-01-29,113184.28922865464
2019-01-30,113184.28922865464
2019-01-31,113184.28922865464
2019-02-01,113184.28922865464
2019-02-04,113184.28922865464
2019-02-05,113184.28922865464
2019-02-06,113184.28922865464
2019-02-07,113184.28922865464
2019-02-08,113184.28922865464
2019-02-11,113184.28922865464
2019-02-12,113184.28922865464
2019-02-13,113184.28922865464
2019-02-14,113184.28922865464
2019-02-15,113184.28922865464
2019-02-19,113184.28922865464
2019-02-20,113184.28922865464
2019-02-21,113184.28922865464
2019-02-22,113184.28922865464
2019-02-25,113184.28922865464
2019-02-26,113184.28922865464
2019-02-27,113184.28922865464
2019-02-28,113184.28922865464
2019-03-01,113184.28922865464
2019-03-04,113184.28922865464
2019-03-05,113184.28922865464
2019-03-06,113184.28922865464
2019-03-07,113184.28922865464
2019-03-08,113184.28922865464
2019-03-11,113184.28922865464
2019-03-12,113184.28922865464
2019-03-13,113184.28922865464
2019-03-14,113184.28922865464
2019-03-15,113184.28922865464
2019-03-18,113184.28922865464
2019-03-19,113184.28922865464
2019-03-20,113184.28922865464
2019-03-21,113303.13250760439
2019-03-22,111971.90696108606
2019-03-25,111893.79254687097
2019-03-26,111893.79254687097
2019-03-27,111893.79254687097
2019-03-28,111893.79254687097
2019-03-29,111893.79254687097
2019-04-01,111669.87760033872
2019-04-02,112670.91762986447
2019-04-03,112459.3569704559
2019-04-04,111927.87735429074
2019-04-05,112074.93776765134
2019-04-08,111626.1725576618
2019-04-09,111626.1725576618
2019-04-10,111626.1725576618
2019-04-11,111626.1725576618
2019-04-12,111626.1725576618
2019-04-15,111626.1725576618
2019-04-16,111626.1725576618
2019-04-17,111626.1725576618
2019-04-18,111626.1725576618
2019-04-22,111626.1725576618
2019-04-23,111626.1725576618
2019-04-24,111626.1725576618
2019-04-25,111626.1725576618
2019-04-26,112333.28622762469
2019-04-29,112594.77621499804
2019-04-30,112988.66607610491
2019-05-01,112700.69485132006
2019-05-02,112617.94611398486
2019-05-03,113187.9161209462
2019-05-06,113164.73222202042
2019-05-07,112999.13237994889
2019-05-08,113100.14816516617
2019-05-09,112571.13608475235
2019-05-10,111841.6970513363
2019-05-13,111841.6970513363
2019-05-14,111841.6970513363
2019-05-15,111841.6970513363
2019-05-16,111841.6970513363
2019-05-17,111841.6970513363
2019-05-20,111841.6970513363
2019-05-21,111841.6970513363
2019-05-22,111841.6970513363
2019-05-23,111841.6970513363
2019-05-24,111841.6970513363
2019-05-28,111841.6970513363
2019-05-29,111841.6970513363
2019-05-30,111841.6970513363
2019-05-31,111841.6970513363
2019-06-03,111841.6970513363
2019-06-04,111841.6970513363
2019-06-05,111841.6970513363
2019-06-06,111841.6970513363
2019-06-07,111841.6970513363
2019-06-10,111841.6970513363
2019-06-11,111841.6970513363
2019-06-12,111841.6970513363
2019-06-13,111841.6970513363
2019-06-14,111841.6970513363
2019-06-17,111841.6970513363
2019-06-18,111841.6970513363
2019-06-19,111841.6970513363
2019-06-20,111841.6970513363
2019-06-21,111841.6970513363
2019-06-24,111841.6970513363
2019-06-25,111841.6970513363
2019-06-26,111841.6970513363
2019-06-27,111841.6970513363
2019-06-28,111841.6970513363
2019-07-01,111841.6970513363
2019-07-02,111841.6970513363
2019-07-03,111841.6970513363
2019-07-05,111841.6970513363
2019-07-08,111841.6970513363
2019-07-09,111841.6970513363
2019-07-10,111841.6970513363
2019-07-11,111841.6970513363
2019-07-12,111841.6970513363
2019-07-15,111841.6970513363
2019-07-16,111841.6970513363
2019-07-17,111841.6970513363
2019-07-18,111841.6970513363
2019-07-19,111841.6970513363
2019-07-22,111841.6970513363
2019-07-23,111841.6970513363
2019-07-24,111841.6970513363
2019-07-25,111841.6970513363
2019-07-26,111841.6970513363
2019-07-29,111841.6970513363
2019-07-30,111841.6970513363
2019-07-31,111841.6970513363
2019-08-01,111841.6970513363
2019-08-02,111841.6970513363
2019-08-05,111841.6970513363
2019-08-06,111841.6970513363
2019-08-07,111841.6970513363
2019-08-08,111841.6970513363
2019-08-09,111841.6970513363
2019-08-12,111841.6970513363
2019-08-13,111841.6970513363
2019-08-14,111841.6970513363
2019-08-15,111841.6970513363
2019-08-16,111841.6970513363
2019-08-19,111841.6970513363
2019-08-20,111841.6970513363
2019-08-21,111841.6970513363
2019-08-22,111841.6970513363
2019-08-23,111841.6970513363
2019-08-26,111841.6970513363
2019-08-27,111841.6970513363
2019-08-28,111841.6970513363
2019-08-29,111841.6970513363
2019-08-30,111841.6970513363
2019-09-03,111841.6970513363
2019-09-04,111841.6970513363
2019-09-05,111833.91800431254
2019-09-06,111577.11702469828
2019-09-09,110977.14721963379
2019-09-10,110726.56710717651
2019-09-11,110726.56710717651
2019-09-12,110726.56710717651
2019-09-13,110726.56710717651
2019-09-16,110726.56710717651
2019-09-17,110726.56710717651
2019-09-18,110726.56710717651
2019-09-19,110726.56710717651
2019-09-20,110726.56710717651
2019-09-23,110726.56710717651
2019-09-24,110726.56710717651
2019-09-25,110726.56710717651
2019-09-26,110726.56710717651
2019-09-27,110726.56710717651
2019-09-30,110726.56710717651
2019-10-01,110726.56710717651
2019-10-02,110726.56710717651
2019-10-03,110726.56710717651
2019-10-04,110726.56710717651
2019-10-07,110726.56710717651
