symbol,entry_date,entry,exit_date,exit,bars,reason,r,pnl,mom_pct
HOOD,2025-06-18,77.84,2025-06-23,74.54,2,stop,-1.0,-666.38,1.0
PLTR,2025-06-25,144.93,2025-06-27,141.5,2,stop,-1.0,-629.03,1.0
APP,2025-09-08,537.34,2025-10-06,586.71,20,trail-10sma,3.75,2461.21,0.97
COHR,2025-10-09,118.61,2025-10-10,115.77,1,stop,-1.0,-644.48,0.96
CIEN,2025-10-24,177.88,2025-10-28,173.81,2,stop,-1.0,-609.73,0.98
INTC,2025-10-24,40.04,2025-11-03,40.04,6,stop,-0.02,-11.76,0.95
CIEN,2025-10-29,186.41,2025-11-04,181.96,4,stop,-1.0,-636.09,0.98
CIEN,2025-11-10,206.9,2025-11-11,201.91,1,stop,-1.0,-648.82,0.99
WDC,2025-10-29,133.4,2025-11-13,156.84,11,trail-10sma,6.31,4207.56,0.99
STX,2025-11-12,294.8,2025-11-13,272.23,1,stop,-1.31,-879.97,0.99
ALB,2025-11-12,106.16,2025-12-04,118.13,15,trail-10sma,5.72,3833.56,0.95
LITE,2025-12-09,345.89,2025-12-12,330.22,3,stop,-1.0,-689.47,1.0
ALB,2025-12-11,133.36,2025-12-12,129.85,1,stop,-1.0,-695.09,0.98
STX,2025-12-09,286.95,2025-12-17,286.95,6,stop,-0.03,-17.47,0.98
WDC,2025-12-10,172.96,2025-12-17,167.46,5,stop,-1.0,-692.33,0.99
APP,2025-12-19,727.19,2025-12-29,700.0,5,stop,-1.0,-679.74,0.98
LITE,2025-12-22,382.84,2025-12-29,367.53,4,stop,-1.0,-688.9,1.0
ALB,2025-12-12,135.49,2025-12-30,141.23,11,trail-10sma,1.23,843.3,0.98
CIEN,2026-01-02,248.12,2026-01-05,237.62,1,stop,-1.0,-682.76,0.99
ECHO,2026-01-05,113.08,2026-01-06,109.61,1,stop,-1.0,-679.44,1.0
CIEN,2026-01-05,250.47,2026-01-06,230.2,1,stop,-1.67,-1134.85,0.99
LITE,2026-01-07,401.8,2026-01-08,373.47,1,stop,-1.0,-651.63,1.0
CIEN,2026-01-07,254.95,2026-01-08,247.45,1,stop,-1.0,-666.92,0.99
ECHO,2026-01-06,113.53,2026-01-26,119.66,13,trail-10sma,1.37,918.08,1.0
CIEN,2026-01-30,261.26,2026-02-02,247.47,1,stop,-1.0,-689.53,0.99
MU,2026-01-16,353.07,2026-02-04,378.99,12,trail-10sma,3.56,2302.06,0.99
FIX,2026-02-03,1199.22,2026-02-04,1171.93,1,stop,-1.0,-600.31,0.96
STX,2026-01-20,334.37,2026-02-05,404.25,12,trail-10sma,4.05,2654.63,0.98
WDC,2026-01-21,230.42,2026-02-05,259.87,11,trail-10sma,5.37,3556.17,0.99
LRCX,2026-02-25,249.54,2026-02-26,243.02,1,stop,-1.0,-703.72,0.98
NEM,2026-02-26,126.59,2026-03-03,119.84,3,stop,-1.43,-998.48,0.96
MRNA,2026-03-02,54.05,2026-03-03,50.44,1,stop,-1.0,-702.39,0.98
GLW,2026-04-08,156.49,2026-04-17,163.74,7,trail-10sma,1.89,1303.84,0.98
ECHO,2026-04-15,132.5,2026-04-21,128.5,4,stop,-1.0,-695.85,0.96
CIEN,2026-04-17,513.75,2026-04-21,493.77,2,stop,-1.0,-699.02,0.99
CIEN,2026-04-21,518.14,2026-04-22,493.54,1,stop,-1.0,-688.77,0.99
MRNA,2026-04-21,56.09,2026-04-23,53.24,2,stop,-1.0,-691.89,0.98
ALB,2026-04-16,190.61,2026-04-24,190.51,6,stop,0.19,129.34,0.98
CIEN,2026-04-23,522.76,2026-04-27,497.09,2,stop,-1.0,-667.45,0.99
GLW,2026-04-24,176.24,2026-04-27,169.76,1,stop,-1.0,-686.48,0.98
VRT,2026-04-24,328.1,2026-04-27,316.33,1,stop,-1.0,-682.17,0.97
WDC,2026-04-20,379.07,2026-04-28,379.07,6,stop,0.84,576.57,0.99
WDC,2026-04-29,424.45,2026-05-01,406.11,2,stop,-1.26,-861.86,1.0
MRVL,2026-05-06,173.02,2026-05-07,164.96,1,stop,-1.0,-685.48,0.98
DELL,2026-05-08,239.17,2026-05-12,233.2,2,stop,-1.0,-686.53,0.96
SNDK,2026-04-24,981.55,2026-05-14,1382.03,14,trail-10sma,8.21,5447.99,1.0
STX,2026-04-17,544.33,2026-05-18,739.94,21,trail-10sma,6.54,4499.45,0.99
FIX,2026-04-20,1671.27,2026-05-18,1852.54,20,trail-10sma,3.61,2412.21,0.98
CIEN,2026-05-22,599.3,2026-05-28,574.03,3,stop,-1.0,-707.55,0.99
CIEN,2026-06-03,629.92,2026-06-04,552.39,1,stop,-3.85,-3023.86,0.98
LRCX,2026-05-21,301.94,2026-06-05,302.91,10,trail-10sma,0.81,589.24,0.96
AMD,2026-05-26,484.98,2026-06-05,484.98,8,stop,1.25,907.42,0.97
SNDK,2026-05-27,1646.81,2026-06-05,1646.81,7,stop,0.78,551.31,1.0
DELL,2026-05-22,267.79,2026-06-09,380.96,11,trail-10sma,21.83,15940.27,0.96
LRCX,2026-06-09,346.12,2026-06-10,323.06,1,stop,-1.44,-1152.84,0.96
STX,2026-06-15,1032.3,2026-06-23,983.56,5,stop,-1.15,-877.35,0.99
NBIS,2026-06-17,278.98,2026-06-23,257.75,3,stop,-1.45,-1146.39,0.98
SNDK,2026-06-12,1895.95,2026-06-24,1895.95,7,stop,2.05,1506.58,1.0
PANW,2026-06-29,309.98,2026-07-08,320.43,6,trail-10sma,2.55,1903.9,0.95
DDOG,2026-07-15,274.14,2026-07-16,261.23,1,stop,-1.0,-800.54,0.98
CRWD,2026-07-15,212.49,2026-07-16,205.1,1,stop,-1.0,-797.71,0.97
PANW,2026-07-17,368.35,2026-07-20,349.64,1,stop,-1.0,-785.97,0.98
DELL,2026-08-13,499.93,2026-08-17,481.59,2,stop,-1.0,-788.62,1.0
